order_id,order_date,customer_id,product_id,location_id,quantity,sales,discount,profit
ES-2012-CM1211545-40949,2020-02-10,CM-1211545,1385,1396,4,48,0.0,24.0
MX-2012-QJ1925582-40949,2020-02-10,QJ-1925582,963,2780,2,148,0.0,74.0
MX-2012-QJ1925582-40949,2020-02-10,QJ-1925582,2390,2780,19,190,0.0,95.0
SG-2012-TC11295111-40953,2020-02-14,TC-11295111,1386,1766,2,24,0.0,12.0
MX-2012-ED1388551-40956,2020-02-17,ED-1388551,1401,1157,4,16,0.0,8.0
IN-2012-EA1403527-40960,2020-02-21,EA-1403527,1210,1819,12,324,0.0,162.0
PL-2012-RW9540103-40961,2020-02-22,RW-9540103,759,2029,6,42,0.0,21.0
IN-2012-MG1820558-40962,2020-02-23,MG-1820558,916,2190,16,80,0.0,40.0
IN-2012-JM1565588-40963,2020-02-24,JM-1565588,1544,601,16,272,0.17,89.76
IN-2012-LH1715559-40968,2020-02-29,LH-1715559,1557,3058,9,99,0.47,2.97
US-2012-CC1222055-40970,2020-03-02,CC-1222055,494,247,1,7,0.4,0.7
MX-2012-RD1993051-40973,2020-03-05,RD-1993051,2369,2140,5,50,0.0,25.0
MX-2012-PG1889551-40974,2020-03-06,PG-1889551,220,1157,2,50,0.0,25.0
ES-2012-JL15235120-40976,2020-03-08,JL-15235120,1808,872,2,44,0.0,22.0
MX-2012-RD1993055-40978,2020-03-10,RD-1993055,1293,247,5,615,0.4,61.5
AG-2012-AJ7803-40978,2020-03-10,AJ-7803,1313,231,11,88,0.0,44.0
ES-2012-HK14890125-40979,2020-03-11,HK-14890125,2590,620,18,900,0.0,450.0
IN-2012-BM1157527-40981,2020-03-13,BM-1157527,1793,1419,15,630,0.0,315.0
IN-2012-DK1298558-40985,2020-03-17,DK-1298558,1837,2404,3,165,0.0,82.5
IN-2012-MV1819058-40988,2020-03-20,MV-1819058,3102,809,2,6,0.0,3.0
IN-2012-TS2150559-40990,2020-03-22,TS-2150559,2042,1648,2,34,0.47,1.02
IR-2012-JL583560-40992,2020-03-24,JL-583560,860,2781,1,8,0.0,4.0
US-2012-CV12295140-40995,2020-03-27,CV-122951402,339,791,3,144,0.0,72.0
AU-2012-LR70358-40995,2020-03-27,LR-70358,2278,873,15,390,0.0,195.0
MX-2012-JK1612082-40995,2020-03-27,JK-1612082,1483,2546,2,92,0.0,46.0
MX-2012-JK1612082-40995,2020-03-27,JK-1612082,518,2546,4,100,0.0,50.0
IN-2012-MT1781527-40996,2020-03-28,MT-1781527,2391,1799,1,42,0.0,21.0
CA-2012-MP17470140-40997,2020-03-29,MP-174701402,1652,2289,1,3,0.2,0.9
IN-2012-MH1778558-40997,2020-03-29,MH-1778558,3150,1084,9,81,0.0,40.5
RS-2012-PG8895108-40998,2020-03-30,PG-8895108,117,2895,1,10,0.0,5.0
US-2012-JB15400101-40999,2020-03-31,JB-15400101,2011,1239,8,24,0.4,2.4
US-2012-DW1348018-41000,2020-04-01,DW-1348018,2743,592,2,40,0.6,-4.0
US-2012-DW1348055-41000,2020-04-01,DW-1348055,3151,49,4,32,0.4,3.2
IN-2012-BM1157527-41001,2020-04-02,BM-1157527,2955,2381,12,252,0.0,126.0
CG-2012-CL189033-41002,2020-04-03,CL-189033,2370,1240,2,32,0.0,16.0
MX-2012-BW1106518-41002,2020-04-03,BW-1106518,637,3099,9,180,0.0,90.0
MX-2012-BW1106518-41002,2020-04-03,BW-1106518,2663,3099,4,44,0.0,22.0
IN-2012-TH211151-41003,2020-04-04,TH-211151,29,68,13,416,0.0,208.0
IT-2012-PC19000120-41004,2020-04-05,PC-19000120,1262,1850,1,26,0.0,13.0
MX-2012-SG2060593-41005,2020-04-06,SG-2060593,2061,2993,1,8,0.0,4.0
ES-2012-FM1421548-41005,2020-04-06,FM-1421548,1157,2328,1,42,0.0,21.0
ID-2012-CM12715118-41007,2020-04-08,CM-12715118,2392,693,16,928,0.5,0.0
IT-2012-CS12490104-41007,2020-04-08,CS-12490104,502,3135,17,153,0.5,0.0
ID-2012-CM12715118-41007,2020-04-08,CM-12715118,136,693,18,324,0.5,0.0
MX-2012-BD1163531-41010,2020-04-11,BD-1163531,2224,2302,7,56,0.0,28.0
IN-2012-SV2078559-41011,2020-04-12,SV-2078559,201,1834,1,8,0.47,0.24
RS-2012-DH3675108-41011,2020-04-12,DH-3675108,2371,955,2,36,0.0,18.0
RS-2012-DH3675108-41011,2020-04-12,DH-3675108,340,955,2,36,0.0,18.0
IN-2012-PS1904527-41014,2020-04-15,PS-1904527,2262,2484,4,44,0.0,22.0
CA-2012-KM16720140-41016,2020-04-17,KM-167201402,2664,621,3,42,0.2,12.6
ID-2012-GH1441092-41020,2020-04-21,GH-1441092,95,2896,2,60,0.4,6.0
MZ-2012-CS250587-41020,2020-04-21,CS-250587,443,1866,1,18,0.0,9.0
MX-2012-SO2033531-41020,2020-04-21,SO-2033531,2728,1524,2,8,0.0,4.0
IN-2012-BS1159027-41020,2020-04-21,BS-1159027,1933,602,3,39,0.0,19.5
TU-2012-MB8085134-41021,2020-04-22,MB-8085134,1445,2464,2,16,0.6,-1.6
IN-2012-BC111257-41021,2020-04-22,BC-111257,1604,88,1,8,0.1,3.2
KZ-2012-JM553568-41023,2020-04-24,JM-553568,519,352,2,38,0.7,-7.6
TU-2012-PA9060134-41023,2020-04-24,PA-9060134,3236,2527,1,19,0.6,-1.9
MO-2012-LR703586-41023,2020-04-24,LR-703586,625,1553,5,95,0.0,47.5
IR-2012-AR82560-41024,2020-04-25,AR-82560,903,1490,12,420,0.0,210.0
IT-2012-NC1862591-41025,2020-04-26,NC-1862591,562,2754,4,48,0.5,0.0
US-2012-MJ1774055-41025,2020-04-26,MJ-1774055,916,2414,5,25,0.4,2.5
LT-2012-CV280572-41025,2020-04-26,CV-280572,1545,2740,12,96,0.0,48.0
IN-2012-JR1567027-41031,2020-05-02,JR-1567027,503,2244,3,57,0.0,28.5
MX-2012-AM1070582-41031,2020-05-02,AM-1070582,917,2644,7,140,0.0,70.0
IT-2012-TT2146048-41033,2020-05-04,TT-2146048,1992,1983,1,18,0.0,9.0
ES-2012-TB21520120-41035,2020-05-06,TB-21520120,16,2290,2,6,0.0,3.0
CA-2012-AI10855140-41038,2020-05-09,AI-108551404,3071,2707,3,42,0.0,21.0
MX-2012-EH1400539-41038,2020-05-09,EH-1400539,918,2261,1,7,0.0,3.5
ZA-2012-CS2460147-41040,2020-05-11,CS-2460147,1194,267,1,20,0.7,-4.0
ID-2012-PB1921059-41040,2020-05-11,PB-1921059,395,1476,14,28,0.47,0.84
ID-2012-PB1921059-41040,2020-05-11,PB-1921059,3165,1476,1,6,0.47,0.18
IN-2012-SC20095127-41040,2020-05-11,SC-20095127,580,1218,2,36,0.0,18.0
MX-2012-BD1150093-41041,2020-05-12,BD-1150093,1698,113,3,45,0.0,22.5
ES-2012-DP1339045-41046,2020-05-17,DP-1339045,2352,2068,4,20,0.0,10.0
IN-2012-ES14020130-41047,2020-05-18,ES-14020130,3134,50,3,12,0.47,0.36
MX-2012-MS1736518-41047,2020-05-18,MS-1736518,2343,2800,2,24,0.0,12.0
IN-2012-RE194057-41051,2020-05-22,RE-194057,2154,1251,1,12,0.1,4.8
SF-2012-LL6840117-41053,2020-05-24,LL-6840117,2209,2439,4,152,0.0,76.0
IT-2012-MC17590124-41055,2020-05-26,MC-17590124,682,2001,20,120,0.5,0.0
MX-2012-RC1982582-41055,2020-05-26,RC-1982582,708,1554,2,34,0.0,17.0
ID-2012-AF1087092-41058,2020-05-29,AF-1087092,1528,2465,2,6,0.4,0.6
IN-2012-AH1046558-41059,2020-05-30,AH-1046558,3103,367,3,18,0.0,9.0
TU-2012-WB11850134-41060,2020-05-31,WB-11850134,1332,2207,1,34,0.6,-3.4
ES-2012-MH1762062-41060,2020-05-31,MH-1762062,2225,1186,9,180,0.5,0.0
ES-2012-LT1711045-41060,2020-05-31,LT-1711045,3166,1505,6,54,0.0,27.0
IN-2012-MC1742558-41060,2020-05-31,MC-1742558,648,1703,8,136,0.0,68.0
CA-2012-RB19795140-41062,2020-06-02,RB-197951402,2574,2613,1,80,0.0,40.0
US-2012-SB20170140-41065,2020-06-05,SB-201701402,2648,2039,2,46,0.2,13.8
MX-2012-DK1289582-41066,2020-06-06,DK-1289582,3151,810,3,24,0.0,12.0
IT-2012-JS15685139-41066,2020-06-06,JS-15685139,1683,103,6,54,0.0,27.0
ES-2012-VT2170045-41066,2020-06-06,VT-2170045,2499,1464,4,36,0.0,18.0
MX-2012-CS1249098-41067,2020-06-07,CS-1249098,1263,2708,14,266,0.4,26.6
ES-2012-GH1442545-41067,2020-06-07,GH-1442545,2030,1735,2,18,0.0,9.0
ES-2012-AC10660139-41067,2020-06-07,AC-10660139,1934,2095,5,50,0.0,25.0
AJ-2012-TC109809-41067,2020-06-07,TC-109809,2933,1649,12,228,0.0,114.0
ID-2012-NR185507-41068,2020-06-08,NR-185507,2226,248,3,105,0.1,42.0
MX-2012-HG1502518-41068,2020-06-08,HG-1502518,1673,2141,4,56,0.0,28.0
IN-2012-MG1787558-41069,2020-06-09,MG-1787558,1387,1674,3,117,0.0,58.5
EG-2012-AJ79538-41070,2020-06-10,AJ-79538,161,300,7,63,0.0,31.5
EG-2012-AJ79538-41070,2020-06-10,AJ-79538,1794,300,12,336,0.0,168.0
MO-2012-LR703586-41072,2020-06-12,LR-703586,2227,2274,6,48,0.0,24.0
MO-2012-LR703586-41072,2020-06-12,LR-703586,240,2274,5,90,0.0,45.0
MX-2012-CJ1201082-41076,2020-06-16,CJ-1201082,3072,301,3,36,0.0,18.0
US-2012-LO1717082-41077,2020-06-17,LO-1717082,2710,1219,19,304,0.0,152.0
ES-2012-SM2095064-41079,2020-06-19,SM-2095064,1721,603,19,589,0.0,294.5
IT-2012-PJ1883548-41079,2020-06-19,PJ-1883548,1021,2876,19,570,0.0,285.0
IT-2012-RB1933045-41080,2020-06-20,RB-1933045,2696,302,9,1413,0.0,706.5
US-2012-GR1456054-41082,2020-06-22,GR-1456054,2155,1333,8,152,0.4,15.2
MX-2012-MS17530101-41083,2020-06-23,MS-17530101,1466,1239,1,4,0.4,0.4
ES-2012-WB2185045-41083,2020-06-23,WB-2185045,1211,509,3,24,0.0,12.0
IN-2012-CR12625102-41086,2020-06-26,CR-12625102,601,89,2,36,0.45,1.8
MX-2012-CD1228018-41086,2020-06-26,CD-1228018,1195,593,8,152,0.0,76.0
ES-2012-DR1294048-41087,2020-06-27,DR-1294048,3051,680,4,76,0.1,30.4
MX-2012-TT2146031-41087,2020-06-27,TT-2146031,1699,317,3,30,0.0,15.0
IN-2012-TA2138558-41087,2020-06-27,TA-2138558,2550,2682,4,64,0.0,32.0
MX-2012-AG1027039-41088,2020-06-28,AG-1027039,741,2261,2,34,0.0,17.0
MX-2012-EH1418518-41088,2020-06-28,EH-1418518,1700,2994,3,75,0.0,37.5
IN-2012-JS16030144-41093,2020-07-03,JS-16030144,2090,1383,6,54,0.17,17.82
MX-2012-LB1673582-41096,2020-07-06,LB-1673582,2091,2815,2,34,0.0,17.0
SF-2012-BS1800117-41096,2020-07-06,BS-1800117,3006,368,4,64,0.0,32.0
ID-2012-SW20245102-41100,2020-07-10,SW-20245102,520,89,5,145,0.45,7.25
MX-2012-MS1736536-41102,2020-07-12,MS-1736536,2195,2782,2,6,0.2,1.8
MX-2012-JH1618051-41102,2020-07-12,JH-1618051,2591,2142,7,252,0.0,126.0
US-2012-LT1676598-41104,2020-07-14,LT-1676598,2078,2165,2,44,0.4,4.4
MX-2012-DL1333031-41106,2020-07-16,DL-1333031,2445,303,9,225,0.0,112.5
MX-2012-DB1291031-41107,2020-07-17,DB-1291031,2142,429,1,14,0.0,7.0
IT-2012-AG10330139-41109,2020-07-19,AG-10330139,1896,640,5,20,0.0,10.0
IN-2012-CD1279027-41109,2020-07-19,CD-1279027,162,3012,2,22,0.0,11.0
CA-2012-HM14860140-41110,2020-07-20,HM-148601402,3212,1252,2,22,0.2,6.6
US-2012-MJ1774054-41111,2020-07-21,MJ-1774054,2043,1333,9,36,0.4,3.6
IT-2012-KT16480104-41113,2020-07-23,KT-16480104,3237,2366,1,15,0.5,0.0
BU-2012-HR477019-41114,2020-07-24,HR-477019,289,1912,1,12,0.0,6.0
NI-2012-GK462095-41115,2020-07-25,GK-462095,919,1360,14,756,0.7,-151.2
CA-2012-CK12205140-41117,2020-07-27,CK-122051408,221,2040,7,56,0.2,16.8
MX-2012-ST2053039-41117,2020-07-27,ST-2053039,1993,1266,4,44,0.0,22.0
ID-2012-HG14845113-41117,2020-07-27,HG-14845113,3188,2843,5,75,0.0,37.5
IN-2012-SC2072558-41118,2020-07-28,SC-2072558,2889,1429,1,33,0.0,16.5
IN-2012-MT1781527-41121,2020-07-31,MT-1781527,1417,2496,3,39,0.0,19.5
MX-2012-JS1594055-41122,2020-08-01,JS-1594055,1212,49,1,39,0.4,3.9
MX-2012-EM1396082-41122,2020-08-01,EM-1396082,2909,2857,2,38,0.0,19.0
IT-2012-DL1333048-41123,2020-08-02,DL-1333048,772,680,4,80,0.1,32.0
IN-2012-DM1352558-41123,2020-08-02,DM-1352558,2934,2844,20,60,0.0,30.0
IS-2012-JL517563-41123,2020-08-02,JL-517563,2682,1967,2,56,0.0,28.0
MX-2012-SH2039582-41124,2020-08-03,SH-2039582,371,901,2,32,0.0,16.0
MX-2012-SH2039582-41124,2020-08-03,SH-2039582,17,901,5,15,0.0,7.5
SA-2012-RH9555110-41124,2020-08-03,RH-9555110,2551,1820,8,72,0.0,36.0
IN-2012-HH150107-41125,2020-08-04,HH-150107,2575,641,16,448,0.4,44.8
IR-2012-SC1038060-41125,2020-08-04,SC-1038060,2372,1430,1,3,0.0,1.5
IR-2012-CM265560-41126,2020-08-05,CM-265560,2592,3136,2,24,0.0,12.0
IZ-2012-CV229561-41128,2020-08-07,CV-229561,42,1165,2,42,0.0,21.0
IN-2012-BF1097527-41128,2020-08-07,BF-1097527,96,2313,3,102,0.0,51.0
CA-2012-MA17560140-41128,2020-08-07,MA-175601402,241,534,4,116,0.0,58.0
NI-2012-SH1039595-41129,2020-08-08,SH-1039595,2530,2427,1,13,0.7,-2.6
ES-2012-MW1823545-41129,2020-08-08,MW-1823545,1862,1835,7,98,0.0,49.0
CA-2012-AH19523-41129,2020-08-08,AH-19523,2500,249,9,144,0.0,72.0
ES-2012-KS16300139-41129,2020-08-08,KS-16300139,1739,2019,1,46,0.0,23.0
KZ-2012-TW1102568-41130,2020-08-09,TW-1102568,611,742,3,36,0.7,-7.2
MX-2012-KH1636018-41131,2020-08-10,KH-1636018,950,2069,2,68,0.0,34.0
ES-2012-CB12415139-41132,2020-08-11,CB-12415139,816,1565,4,28,0.0,14.0
ES-2012-PG1889564-41135,2020-08-14,PG-1889564,1740,2466,3,27,0.0,13.5
IN-2012-HM1498027-41135,2020-08-14,HM-1498027,2091,148,7,119,0.0,59.5
US-2012-JG1516036-41136,2020-08-15,JG-1516036,884,1384,5,65,0.2,19.5
ID-2012-TC2129527-41137,2020-08-16,TC-2129527,2663,2221,2,22,0.5,0.0
IN-2012-DV130457-41137,2020-08-16,DV-130457,2410,1950,9,27,0.1,10.8
IN-2012-SF209657-41137,2020-08-16,SF-209657,2858,1251,19,266,0.1,106.4
ID-2012-SH203957-41138,2020-08-17,SH-203957,1388,1397,4,20,0.4,2.0
IN-2012-TB2117592-41138,2020-08-17,TB-2117592,58,1477,10,100,0.0,50.0
AU-2012-DS30308-41138,2020-08-17,DS-30308,182,2143,3,96,0.0,48.0
IN-2012-SV2081566-41139,2020-08-18,SV-2081566,1653,412,4,92,0.0,46.0
IN-2012-CS1184527-41139,2020-08-18,CS-1184527,1123,2382,17,357,0.0,178.5
US-2012-GH1442598-41140,2020-08-19,GH-1442598,2697,2165,4,68,0.4,6.8
IN-2012-SN2056027-41143,2020-08-22,SN-2056027,2683,1419,2,62,0.0,31.0
NI-2012-Co264095-41144,2020-08-23,Co-264095,3255,1360,2,28,0.7,-5.6
IT-2012-TS2165591-41145,2020-08-24,TS-2165591,2196,2755,1,9,0.5,0.0
CA-2012-RC19960140-41145,2020-08-24,RC-199601406,1294,1122,2,10,0.2,3.0
CA-2012-RC19960140-41145,2020-08-24,RC-199601406,760,1122,6,48,0.2,14.4
ES-2012-PC1900064-41145,2020-08-24,PC-1900064,1401,2056,1,4,0.0,2.0
ID-2012-SD20485130-41146,2020-08-25,SD-20485130,2591,50,2,72,0.47,2.16
UP-2012-TB11400137-41146,2020-08-25,TB-11400137,3167,201,1,25,0.0,12.5
CA-2012-RA19945140-41149,2020-08-28,RA-199451408,2511,2303,2,14,0.2,4.2
EG-2012-RB936038-41149,2020-08-28,RB-936038,1571,551,4,48,0.0,24.0
TU-2012-SJ10125134-41150,2020-08-29,SJ-10125134,885,2207,4,96,0.6,-9.6
RS-2012-JK5730108-41150,2020-08-29,JK-5730108,2630,2234,1,16,0.0,8.0
US-2012-JP155205-41153,2020-09-01,JP-155205,2935,1398,2,32,0.4,3.2
IN-2012-RB1943558-41153,2020-09-01,RB-1943558,2934,282,3,9,0.0,4.5
SA-2012-EH4125110-41153,2020-09-01,EH-4125110,1360,2756,1,6,0.0,3.0
IN-2012-JM1553558-41156,2020-09-04,JM-1553558,795,19,2,8,0.0,4.0
ES-2012-KB1631545-41156,2020-09-04,KB-1631545,2975,3046,6,138,0.0,69.0
MX-2012-MM1828051-41159,2020-09-07,MM-1828051,2512,1157,2,52,0.0,26.0
IN-2012-CS119507-41160,2020-09-08,CS-119507,504,149,6,240,0.1,96.0
CA-2012-CL12565140-41161,2020-09-09,CL-125651404,3168,2663,7,84,0.2,25.2
MX-2012-JS1568593-41163,2020-09-11,JS-1568593,580,113,7,126,0.0,63.0
ID-2012-SC2026097-41164,2020-09-12,SC-2026097,3169,743,2,26,0.5,0.0
RS-2012-RD9480108-41164,2020-09-12,RD-9480108,2665,918,1,37,0.0,18.5
IR-2012-BM165060-41164,2020-09-12,BM-165060,638,1490,9,126,0.0,63.0
IN-2012-HD147857-41165,2020-09-13,HD-147857,97,641,4,72,0.4,7.2
CA-2012-AJ10960140-41165,2020-09-13,AJ-109601406,1229,2428,3,24,0.0,12.0
IN-2012-VP217307-41166,2020-09-14,VP-217307,1246,1821,1,23,0.1,9.2
IR-2012-TB1125060-41166,2020-09-14,TB-1125060,273,2528,1,151,0.0,75.5
MX-2012-PH1879018-41166,2020-09-14,PH-1879018,274,341,2,40,0.0,20.0
IN-2012-PB1915027-41168,2020-09-16,PB-1915027,2092,2830,6,72,0.0,36.0
CA-2012-NR18550140-41168,2020-09-16,NR-185501404,1557,2440,3,33,0.0,16.5
NI-2012-NC841595-41171,2020-09-19,NC-841595,1632,837,4,52,0.7,-10.4
CA-2012-HF14995140-41172,2020-09-20,HF-149951404,2771,1836,5,130,0.0,65.0
UP-2012-TS11340137-41173,2020-09-21,TS-11340137,396,824,6,210,0.0,105.0
IT-2012-ZC2191048-41174,2020-09-22,ZC-2191048,649,680,2,26,0.1,10.4
MX-2012-LW1721551-41174,2020-09-22,LW-1721551,2209,2140,3,114,0.0,57.0
US-2012-MT18070140-41176,2020-09-24,MT-180701402,2859,621,1,4,0.2,1.2
IN-2012-RP1927027-41177,2020-09-25,RP-1927027,817,510,13,156,0.0,78.0
IT-2012-NF1838564-41178,2020-09-26,NF-1838564,2331,2645,3,135,0.0,67.5
IT-2012-NF1838564-41178,2020-09-26,NF-1838564,163,2645,5,25,0.0,12.5
ES-2012-BG11035139-41178,2020-09-26,BG-11035139,1262,2683,3,78,0.0,39.0
IT-2012-NF1838564-41178,2020-09-26,NF-1838564,2317,2645,7,217,0.0,108.5
MX-2012-SS2014082-41178,2020-09-26,SS-2014082,1572,2644,17,595,0.0,297.5
IN-2012-TC2114527-41178,2020-09-26,TC-2114527,222,602,12,36,0.0,18.0
ES-2012-LC1688548-41179,2020-09-27,LC-1688548,2987,1280,2,40,0.0,20.0
MX-2012-DV1346539-41179,2020-09-27,DV-1346539,98,942,4,36,0.0,18.0
ES-2012-NC1853545-41179,2020-09-27,NC-1853545,444,3013,18,306,0.0,153.0
IN-2012-DK1309092-41180,2020-09-28,DK-1309092,223,1297,1,7,0.0,3.5
US-2012-EB13750143-41182,2020-09-30,EB-13750143,2890,744,1,45,0.4,4.5
CA-2012-ES14080140-41183,2020-10-01,ES-140801404,2446,2144,7,77,0.2,23.1
CA-2012-DO13435140-41184,2020-10-02,DO-134351406,18,1122,5,120,0.2,36.0
US-2012-PO1919518-41185,2020-10-03,PO-1919518,30,1906,2,88,0.6,-8.8
MX-2012-FM1429036-41186,2020-10-04,FM-1429036,1994,1620,3,45,0.2,13.5
IN-2012-FH1436592-41186,2020-10-04,FH-1436592,2411,2002,13,351,0.0,175.5
IN-2012-HA1490527-41188,2020-10-06,HA-1490527,1741,535,5,175,0.0,87.5
IN-2012-DK1315027-41188,2020-10-06,DK-1315027,1863,2646,7,84,0.0,42.0
IN-2012-JF1519011-41189,2020-10-07,JF-1519011,1229,2684,2,16,0.0,8.0
IN-2012-GH1448558-41191,2020-10-09,GH-1448558,3577,811,20,2020,0.0,1010.0
CA-2012-TN21040140-41191,2020-10-09,TN-210401404,1877,2057,4,80,0.0,40.0
US-2012-JF15565140-41192,2020-10-10,JF-155651406,1053,1220,3,63,0.2,18.9
CA-2012-AS10240140-41192,2020-10-10,AS-102401404,2479,2485,1,14,0.0,7.0
IN-2012-HG148457-41193,2020-10-11,HG-148457,1820,2291,4,668,0.1,267.2
CA-2012-MA17995140-41194,2020-10-12,MA-179951408,3073,2582,1,19,0.0,9.5
US-2012-JS1588055-41195,2020-10-13,JS-1588055,1230,49,6,42,0.4,4.2
US-2012-MS17980143-41195,2020-10-13,MS-17980143,1558,1,5,25,0.4,2.5
IN-2012-CD1198027-41195,2020-10-13,CD-1198027,290,1419,3,42,0.0,21.0
ID-2012-LS1723097-41198,2020-10-16,LS-1723097,665,1867,2,226,0.5,0.0
CA-2012-EH13765140-41199,2020-10-17,EH-137651406,796,1220,20,560,0.2,168.0
US-2012-TA21385143-41200,2020-10-18,TA-21385143,2228,568,2,60,0.4,6.0
ES-2012-SF20065139-41200,2020-10-18,SF-20065139,2011,103,2,6,0.0,3.0
ID-2012-KT1648092-41201,2020-10-19,KT-1648092,2666,2465,8,936,0.4,93.6
US-2012-JM152505-41202,2020-10-20,JM-152505,275,232,5,80,0.4,8.0
MX-2012-CG1204055-41202,2020-10-20,CG-1204055,2563,49,1,14,0.4,1.4
MX-2012-KD1649582-41202,2020-10-20,KD-1649582,1721,233,18,558,0.0,279.0
ES-2012-BP11095139-41203,2020-10-21,BP-11095139,2154,2,10,120,0.0,60.0
ID-2012-MK18160118-41213,2020-10-31,MK-18160118,773,693,9,171,0.5,0.0
IN-2012-MV17485113-41213,2020-10-31,MV-17485113,683,2843,2,22,0.0,11.0
ES-2012-HA1492064-41214,2020-11-01,HA-1492064,202,1361,8,120,0.0,60.0
IT-2012-GM1468091-41215,2020-11-02,GM-1468091,2729,2755,3,12,0.5,0.0
MX-2012-DN1369082-41215,2020-11-02,DN-1369082,2263,1334,1,24,0.0,12.0
IN-2012-TB215207-41215,2020-11-02,TB-215207,563,463,4,68,0.0,34.0
IT-2012-AA10645139-41216,2020-11-03,AA-10645139,626,1399,7,203,0.5,0.0
MX-2012-DS1318018-41216,2020-11-03,DS-1318018,2956,2970,17,306,0.0,153.0
US-2012-BC111255-41219,2020-11-06,BC-111255,482,232,2,10,0.4,1.0
IN-2012-DB1306027-41219,2020-11-06,DB-1306027,920,2405,3,27,0.0,13.5
CG-2012-DM352533-41219,2020-11-06,DM-352533,849,902,19,665,0.0,332.5
IN-2012-NP1870058-41220,2020-11-07,NP-1870058,203,1941,4,132,0.0,66.0
US-2012-MS17530143-41221,2020-11-08,MS-17530143,1701,2467,2,34,0.4,3.4
MX-2012-GK1462018-41221,2020-11-08,GK-1462018,3052,2468,10,80,0.0,40.0
ES-2012-SF2020045-41222,2020-11-09,SF-2020045,417,1835,2,16,0.0,8.0
IN-2012-RB1979558-41222,2020-11-09,RB-1979558,2615,114,4,36,0.0,18.0
IN-2012-TP21130144-41223,2020-11-10,TP-21130144,2105,1383,3,15,0.17,4.95
IT-2012-BS1175545-41223,2020-11-10,BS-1175545,1054,2630,1,13,0.0,6.5
IN-2012-Dp1324027-41223,2020-11-10,Dp-1324027,2426,1253,3,54,0.0,27.0
IN-2012-Dp1324027-41223,2020-11-10,Dp-1324027,2576,1253,4,44,0.0,22.0
TU-2012-VS11820134-41224,2020-11-11,VS-11820134,1935,889,2,198,0.6,-19.8
ID-2012-SH20635102-41227,2020-11-14,SH-20635102,1979,369,17,340,0.45,17.0
CA-2012-PB19105140-41227,2020-11-14,PB-191051402,2182,621,9,162,0.2,48.6
MX-2012-GP1474082-41227,2020-11-14,GP-1474082,2125,511,13,156,0.0,78.0
ID-2012-DJ1363059-41228,2020-11-15,DJ-1363059,1821,639,3,45,0.47,1.35
ID-2012-DJ1363059-41228,2020-11-15,DJ-1363059,472,639,3,84,0.47,2.52
MX-2012-RD1972031-41228,2020-11-15,RD-1972031,1124,18,3,588,0.0,294.0
US-2012-SR20740140-41228,2020-11-15,SR-207401402,1446,663,1,39,0.0,19.5
CA-2012-CB12025140-41229,2020-11-16,CB-120251402,1123,443,3,63,0.2,18.9
NI-2012-PO918095-41230,2020-11-17,PO-918095,1055,413,4,12,0.7,-2.4
IZ-2012-BD162061-41230,2020-11-17,BD-162061,2772,90,1,21,0.0,10.5
ES-2012-DC1328545-41230,2020-11-17,DC-1328545,1684,1465,1,103,0.0,51.5
