product_id,product,subcategory,category,retail_price
175,Bath & Body Works Sea & Dune Diffuser,body moisturizers,Body care,16.0
176,Bath & Body Works Volcano Candle,"bath oils, bubbles and soaks",Body care,12.0
177,Beautyblender Blusher Makeup Sponge,"candles, sprays, diffusers",Home and Accessories,2.0
178,Beautyblender Blusher Sponge,Body soaps and washes,Body care,4.0
179,Beautyblender Bubble Sponge,"bath oils, bubbles and soaks",Body care,7.0
180,Beautyblender Chill Makeup Sponge,"bath oils, bubbles and soaks",Body care,12.0
181,Beautyblender Chill Sponge,Body soaps and washes,Body care,6.0
182,Beautyblender Electric Violet Sponge,face masks and exfoliators,Body care,4.0
183,Beautyblender Glass Glow Shinelighter,Nail care products,Body care,11.0
184,Beautyblender Gold Mine Set,hand creams,Body care,11.0
185,Beautyblender Joy Sponge,"bath oils, bubbles and soaks",Body care,9.0
186,Beautyblender Micro Mini Bubble Sponge,"bath oils, bubbles and soaks",Body care,9.0
187,Beautyblender Micro Mini Sponge,Nail care products,Body care,11.0
188,Beautyblender Nude Makeup Sponge,Body soaps and washes,Body care,2.0
189,Beautyblender Nude Sponge,face moisturizing products,Face care,9.0
190,Beautyblender Original Makeup Sponge,"bath oils, bubbles and soaks",Body care,10.0
191,Beautyblender Original Pink Sponge,face masks and exfoliators,Body care,6.0
192,Beautyblender PRO Makeup Sponge,body moisturizers,Body care,10.0
193,Beautyblender Pro on the Go Set,body moisturizers,Body care,3.0
194,Beautyblender Red Carpet Sponge,"bath oils, bubbles and soaks",Body care,11.0
195,Beautyblender Royal Sponge,"bath oils, bubbles and soaks",Body care,9.0
196,Beautyblender Sapphire Sponge,"bath oils, bubbles and soaks",Body care,5.0
197,Beautyblender Swirl Sponge,"bath oils, bubbles and soaks",Body care,6.0
198,Beautyblender Zodiac Sponge,Body soaps and washes,Body care,11.0
199,BioSchwartz B-Complex,"bath oils, bubbles and soaks",Body care,34.0
200,BioSchwartz Magnesium Citrate,"bath oils, bubbles and soaks",Body care,35.0
201,BioSchwartz Melatonin,"bath oils, bubbles and soaks",Body care,27.0
202,BioSchwartz Prenatal Multivitamin,body moisturizers,Body care,22.0
203,BioSchwartz Probiotics,body moisturizers,Body care,32.0
204,BioSchwartz Vitamin C,hand creams,Body care,22.0
205,BioSchwartz Vitamin D3,face masks and exfoliators,Body care,22.0
206,Black Charcoal Conditioner,"bath oils, bubbles and soaks",Body care,37.0
207,Black Charcoal Shampoo,Body soaps and washes,Body care,8.0
208,Bliss Blood Orange & White Pepper Hand Cream,"bath oils, bubbles and soaks",Body care,9.0
209,Bliss Grapefruit & Aloe Hand Cream,"bath oils, bubbles and soaks",Body care,28.0
210,Bliss High Intensity Hand Cream,face masks and exfoliators,Body care,18.0
211,Bliss Lemon + Sage Hand Cream,vitamins and supplements,Body care,15.0
212,Bliss Mighty Marshmallow Bright & Radiant Whipped Mask,body moisturizers,Body care,13.0
213,Bliss Minty Hand Cream,"bath oils, bubbles and soaks",Body care,23.0
214,Bliss Rose Gold Hand Cream,"bath oils, bubbles and soaks",Body care,23.0
215,Bliss Snowflake Hand Cream,"bath oils, bubbles and soaks",Body care,38.0
216,Bliss Triple Oxygen Hand Cream,face masks and exfoliators,Body care,34.0
217,Blue Ginger & Micellar Water Conditioner,"bath oils, bubbles and soaks",Body care,32.0
218,Blue Ginger & Micellar Water Shampoo,"bath oils, bubbles and soaks",Body care,33.0
219,Bobbi Brown Backstage Foundation,"bath oils, bubbles and soaks",Body care,14.0
220,Bobbi Brown Crushed Lip Color Babe,body moisturizers,Body care,9.0
221,Bobbi Brown Crushed Lip Color Cranberry,body moisturizers,Body care,20.0
222,Bobbi Brown Crushed Lip Color Ruby,hand creams,Body care,17.0
223,Bobbi Brown Crushed Liquid Lip Juicy Date,body moisturizers,Body care,7.0
224,Bobbi Brown Crushed Liquid Lip Smoothie Move,Nail care products,Body care,16.0
225,Bobbi Brown Flawless Fusion Ultra-Longwear Foundation,"bath oils, bubbles and soaks",Body care,30.0
226,Bobbi Brown Luxe Lip Color Bond,body moisturizers,Body care,10.0
227,Bobbi Brown Luxe Lip Color Imperial Red,"bath oils, bubbles and soaks",Body care,20.0
228,Bobbi Brown Luxe Lip Color Neutral Rose,body moisturizers,Body care,19.0
229,Bobbi Brown Luxe Lip Color Pink Cloud,body moisturizers,Body care,10.0
230,Bobbi Brown Luxe Lip Color Russian Doll,body moisturizers,Body care,14.0
231,Bobbi Brown Pro Filt'r Foundation,"bath oils, bubbles and soaks",Body care,23.0
232,Bobbi Brown Skin Long-Wear Weightless Foundation,"bath oils, bubbles and soaks",Body care,29.0
233,Bobbi Brown Stay Naked Foundation,"bath oils, bubbles and soaks",Body care,29.0
234,Bobbi Brown Studio Fix Fluid,"bath oils, bubbles and soaks",Body care,21.0
235,Bobbi Brown True Match Foundation,Nail care products,Body care,32.0
236,Bobbi Brown Vanish Seamless Finish Foundation Stick,Body soaps and washes,Body care,15.0
237,Boscia Cactus Water Peel-Off Mask,"bath oils, bubbles and soaks",Body care,13.0
238,Boscia Charcoal Deep-Pore Cleansing Stick Treatment,"bath oils, bubbles and soaks",Body care,17.0
239,Boscia Charcoal Pore Pudding Intensive Wash-Off Treatment,body moisturizers,Body care,8.0
240,Boscia Exfoliating Peel Gel,body moisturizers,Body care,14.0
241,Boscia Fruit Acid Smoothing Foot Peel,"bath oils, bubbles and soaks",Body care,13.0
242,Boscia Green Tea Oil-Control Mask,"bath oils, bubbles and soaks",Body care,12.0
243,Boscia Luminizing Black Mask,Body soaps and washes,Body care,12.0
244,Boscia Luminizing Pink Mask,"bath oils, bubbles and soaks",Body care,15.0
245,Boscia Matcha Magic Super-Antioxidant Mask,"bath oils, bubbles and soaks",Body care,14.0
246,Boy Smells Baies Candle,"bath oils, bubbles and soaks",Body care,14.0
247,Boy Smells Black Forest Candle,face masks and exfoliators,Body care,15.0
248,Boy Smells Feu de Bois Candle,"bath oils, bubbles and soaks",Body care,8.0
249,Boy Smells Garden Mint Candle,hand creams,Body care,3.0
250,Boy Smells Geranium Candle,hair colors and toners,Hair care,17.0
251,Boy Smells Lavender Vanilla Candle,"bath oils, bubbles and soaks",Body care,7.0
252,Boy Smells Lime Basil & Mandarin Diffuser,body moisturizers,Body care,4.0
253,Boy Smells Russian Leather Candle,body moisturizers,Body care,10.0
254,Boy Smells Smell of Spring Spray,"bath oils, bubbles and soaks",Body care,18.0
255,Britney Spears Curios,"bath oils, bubbles and soaks",Body care,44.0
256,Britney Spears Fantasy,Accessories,Home and Accessories,96.0
257,Burberry Bloom,"bath oils, bubbles and soaks",Body care,104.0
258,Burberry Chance,Nail care products,Body care,113.0
259,Burberry Coco Mademoiselle,"bath oils, bubbles and soaks",Body care,55.0
260,Burberry Full Kisses English Rose,Nail care products,Body care,8.0
261,Burberry Full Kisses Rose Apricot,body moisturizers,Body care,8.0
262,Burberry Gentleman,body moisturizers,Body care,104.0
263,Burberry Her Eau de Parfum,face masks and exfoliators,Body care,104.0
264,Burberry Invictus,Accessories,Home and Accessories,58.0
265,Burberry Kisses Coral Pink,hand creams,Body care,16.0
266,Burberry Kisses Military Red,Lipsticks,Make up,13.0
267,Burberry Kisses Nude Pink,"bath oils, bubbles and soaks",Body care,6.0
268,Burberry Lip Velvet Bright Plum,Nail care products,Body care,17.0
269,Burberry Lip Velvet Damson,Nail care products,Body care,6.0
270,Burberry Lip Velvet Fuchsia Pink,shampoos and conditioners,Hair care,13.0
271,Burberry Lip Velvet Oxblood,body moisturizers,Body care,11.0
272,Burberry Lip Velvet Poppy Red,body moisturizers,Body care,7.0
273,Burberry Terre d'Hermès,Accessories,Home and Accessories,81.0
274,Burberry The One,body moisturizers,Body care,49.0
275,Burt's Bees Almond & Milk Hand Cream,Nail care products,Body care,24.0
276,Burt's Bees Baby Bee Bubble Bath,"bath oils, bubbles and soaks",Body care,14.0
277,Burt's Bees Baby Bee Buttermilk Soap,body moisturizers,Body care,9.0
278,Burt's Bees Baby Bee Calming Shampoo & Wash,foundations and concealers,Make up,3.0
279,Burt's Bees Baby Bee Shampoo & Wash,shampoos and conditioners,Hair care,12.0
280,Burt's Bees Banana Hand Cream,body moisturizers,Body care,33.0
281,Burt's Bees Body Wash for Sensitive Skin,"bath oils, bubbles and soaks",Body care,3.0
282,Burt's Bees Citrus & Ginger Body Wash,body moisturizers,Body care,4.0
283,Burt's Bees Energizing Citrus & Ginger Body Wash,"bath oils, bubbles and soaks",Body care,9.0
284,Burt's Bees Hand Salve,"bath oils, bubbles and soaks",Body care,18.0
285,Burt's Bees Honey & Grapeseed Hand Cream,"bath oils, bubbles and soaks",Body care,39.0
286,Burt's Bees Lavender & Honey Hand Cream,"bath oils, bubbles and soaks",Body care,33.0
287,Burt's Bees Lemon & Vitamin E Bath and Body Oil,body moisturizers,Body care,3.0
288,Burt's Bees Mama Bee Nourishing Body Oil,"bath oils, bubbles and soaks",Body care,16.0
289,Burt's Bees Natural Skin Care for Men Body Wash,"bath oils, bubbles and soaks",Body care,7.0
290,Burt's Bees Peppermint & Rosemary Body Wash,brushes and applicators,Home and Accessories,10.0
291,Burt's Bees Shea Butter Hand Repair Cream,"bath oils, bubbles and soaks",Body care,31.0
292,Burt's Bees Shea Butter Repair Hand Cream,face masks and exfoliators,Body care,35.0
293,Burt's Bees Ultimate Care Hand Cream,body moisturizers,Body care,21.0
294,Butter London Nail Lacquer All Hail the Queen Taupe with Glitter,"bath oils, bubbles and soaks",Body care,11.0
295,Butter London Nail Lacquer Big Smoke Deep Blue,vitamins and supplements,Body care,10.0
296,Butter London Nail Lacquer Bit Faker Bronze Glitter,vitamins and supplements,Body care,8.0
297,Butter London Nail Lacquer Blagger Bold Blue,"bath oils, bubbles and soaks",Body care,4.0
298,Butter London Nail Lacquer Bluey Metallic Teal,"bath oils, bubbles and soaks",Body care,11.0
299,Butter London Nail Lacquer British Racing Green Deep Green,body moisturizers,Body care,11.0
300,Butter London Nail Lacquer Champers Rose Gold Metallic,"bath oils, bubbles and soaks",Body care,10.0
301,Butter London Nail Lacquer Disco Biscuit Hot Pink with Blue Glitter,"bath oils, bubbles and soaks",Body care,9.0
302,Butter London Nail Lacquer Fiddlesticks Raspberry Glitter,Nail care products,Body care,6.0
303,Butter London Nail Lacquer Giddy Kipper Periwinkle Blue,"bath oils, bubbles and soaks",Body care,7.0
304,Butter London Nail Lacquer Jaffa Bright Orange,"bath oils, bubbles and soaks",Body care,7.0
305,Butter London Nail Lacquer Knackered Holographic Silver,Body soaps and washes,Body care,5.0
306,Butter London Nail Lacquer La Moss Deep Red,vitamins and supplements,Body care,6.0
307,Butter London Nail Lacquer Lady Muck Dusty Blue with Silver Shimmer,Body soaps and washes,Body care,3.0
308,Butter London Nail Lacquer Muggins Pale Lilac,face moisturizing products,Face care,3.0
309,Butter London Nail Lacquer No More Waity Katie Lilac with Glitter,"bath oils, bubbles and soaks",Body care,5.0
310,Butter London Nail Lacquer Pillar Box Red Bright Red,face moisturizing products,Face care,5.0
311,Butter London Nail Lacquer Primrose Hill Picnic Hot Pink,Body soaps and washes,Body care,9.0
312,Butter London Nail Lacquer Queen Vic Rich Burgundy,"bath oils, bubbles and soaks",Body care,9.0
313,Butter London Nail Lacquer Rosie Lee Rose Gold Glitter,Nail care products,Body care,11.0
314,Butter London Nail Lacquer Scouse Blue with Pink Shimmer,"bath oils, bubbles and soaks",Body care,3.0
315,Butter London Nail Lacquer Shag Metallic Copper,"bath oils, bubbles and soaks",Body care,8.0
316,Butter London Nail Lacquer Slapper Bright Teal,body moisturizers,Body care,7.0
317,Butter London Nail Lacquer Sloane Ranger Olive Green with Silver Shimmer,"bath oils, bubbles and soaks",Body care,9.0
318,Butter London Nail Lacquer Teddy Girl Pale Pink,body moisturizers,Body care,8.0
319,Butter London Nail Lacquer The Full Monty Metallic Gold,"bath oils, bubbles and soaks",Body care,6.0
320,Butter London Nail Lacquer Trout Pout Coral Pink,Nail care products,Body care,3.0
321,Butter London Nail Lacquer Union Jack Black Jet Black,"bath oils, bubbles and soaks",Body care,11.0
322,Butter London Nail Lacquer West End Wonderland Gold Glitter,Body soaps and washes,Body care,10.0
323,Butter London Nail Lacquer Yummy Mummy Cool Beige,"bath oils, bubbles and soaks",Body care,8.0
324,Bvlgari Acqua di Giò,body moisturizers,Body care,42.0
325,Bvlgari Black Opium,vitamins and supplements,Body care,82.0
326,Bvlgari Bloom,Body soaps and washes,Body care,113.0
327,Bvlgari Flowerbomb,Body soaps and washes,Body care,49.0
328,Bvlgari Good Girl,"bath oils, bubbles and soaks",Body care,113.0
329,Bvlgari Invictus,Body soaps and washes,Body care,48.0
330,Bvlgari J'adore,Body soaps and washes,Body care,46.0
